City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
russell,32.3502,-85.1999,297.15,88,1,2.17,1619665035
salalah,17.0151,54.0924,302.15,79,75,2.06,1619664916
puerto carreno,6.189,-67.4859,297.51,90,100,1.93,1619665038
wonthaggi,-38.6044,145.5913,294.82,73,2,1.69,1619665039
tiznit,29.5833,-9.5,285.71,87,73,0.8,1619665041
labuhan,-6.8844,112.2051,302.38,67,42,2.2,1619665042
alta floresta,-9.8756,-56.0861,297.15,100,75,1.54,1619665043
pekan nenas,1.51,103.5141,303.15,79,20,3.6,1619665045
el alto,-4.2714,-81.2147,293.69,75,39,5.52,1619665046
algiers,36.7525,3.042,287.15,94,40,2.57,1619665047
pitimbu,-7.4706,-34.8086,297.15,94,0,0.51,1619665048
saint-leu,-21.15,55.2833,297.15,78,0,4.63,1619665050
astana,51.1801,71.446,283.15,76,40,2.0,1619665051
sambava,-14.2667,50.1667,296.87,88,12,4.35,1619665052
binay,13.5028,122.5975,302.51,54,38,0.8,1619665054
abu samrah,35.3029,37.1841,290.54,43,6,2.09,1619665055
petropavlovsk-kamchatskiy,53.0452,158.6483,279.15,70,100,7.0,1619665056
mangai,-4.05,19.5333,294.53,99,100,0.6,1619665058
kampong thum,12.7111,104.8887,304.29,59,99,3.0,1619665059
hami,42.8,93.45,295.74,13,32,2.13,1619665060
atasu,48.6814,71.6433,293.29,52,99,4.8,1619665062
muravlenko,63.7898,74.523,274.19,94,100,5.38,1619665063
leningradskiy,69.3833,178.4167,270.3,71,100,0.73,1619664980
wollongong,-34.4333,150.8833,297.04,63,30,1.79,1619665065
lovozero,68.005,35.0117,266.08,86,99,3.15,1619665067
aklavik,68.2191,-135.0107,277.15,52,27,4.12,1619665068
pangai,-19.8,-174.35,300.15,89,75,1.03,1619665069
cherskiy,68.75,161.3,272.26,93,100,4.58,1619665071
yuanping,38.7153,112.7575,289.08,19,41,9.94,1619665072
luganville,-15.5333,167.1667,300.33,64,97,5.79,1619665073
esmeralda,21.8525,-78.1169,297.15,83,20,5.14,1619665075
santiago del estero,-27.7951,-64.2615,289.7,70,71,3.43,1619665076
palomares,17.15,-95.0667,300.04,76,98,8.89,1619665077
puerto rico,-26.796,-55.024,283.11,68,0,0.74,1619665079
binzhou,37.3667,118.0167,294.71,17,99,5.65,1619665080
alem paraiba,-21.8878,-42.7044,292.94,96,82,0.53,1619665082
north bend,43.4065,-124.2243,286.48,82,1,3.6,1619665084
souillac,-20.5167,57.5167,298.15,88,40,4.12,1619665085
namatanai,-3.6667,152.4333,303.06,65,72,4.96,1619665086
inhambane,-23.865,35.3833,295.61,78,0,1.85,1619665088
nantucket,41.2835,-70.0995,282.15,93,90,4.63,1619665089
janakkala,60.9,24.6,272.59,92,18,1.61,1619665090
burnie,-41.0667,145.9167,289.26,72,52,2.24,1619664794
dve mogili,43.6,25.8667,283.15,100,90,1.54,1619665093
bud,39.447,-86.1758,291.48,99,100,4.0,1619665094
hammerfest,70.6634,23.6821,270.15,80,75,2.06,1619665095
blackwater,-23.5833,148.8833,298.52,42,100,5.11,1619665097
belgrade,44.804,20.4651,282.15,93,20,3.6,1619664848
itarema,-2.9248,-39.9167,298.2,87,100,3.28,1619665099
fort nelson,58.8053,-122.7002,276.15,41,75,2.06,1619665100
bria,6.5423,21.9863,294.35,94,97,1.18,1619665102
beihai,21.4833,109.1,297.04,66,99,5.8,1619665103
riohacha,11.5444,-72.9072,298.48,81,96,4.61,1619665104
los llanos de aridane,28.6585,-17.9182,292.15,55,20,3.09,1619665106
sungairaya,0.7,108.9,303.63,58,96,1.37,1619665107
adeje,28.1227,-16.726,291.48,88,20,2.57,1619665108
kangaba,11.9333,-8.4167,303.39,44,95,3.85,1619665110
tanout,14.9709,8.8879,299.8,10,5,4.32,1619665111
viedma,-40.8135,-62.9967,289.95,58,86,4.48,1619665112
petrov val,50.1434,45.2096,278.2,63,0,1.62,1619665114
trincomalee,8.5711,81.2335,301.4,75,75,3.94,1619665115
acandi,8.5063,-77.2778,297.17,91,98,1.46,1619665116
myaundzha,63.0494,147.1858,272.34,95,93,0.69,1619665118
sao felix do xingu,-6.6447,-51.995,294.51,98,98,0.56,1619665119
matagami,49.7502,-77.6328,278.15,52,1,1.54,1619665120
fredericton,45.9454,-66.6656,285.15,50,90,2.57,1619665121
sabang,5.8933,95.3214,301.28,72,100,1.34,1619665123
te anau,-45.4167,167.7167,285.03,90,100,2.35,1619665124
savannah bight,16.45,-85.85,300.37,83,4,0.89,1619665126
moussoro,13.6408,16.4901,299.73,9,10,5.04,1619665127
